image,algorithm,psnr,ssim,uciqe,uiqm,entropy
00001.png,DM,38.70612083303454,0.9835432007268687,22103034.97365587,365.9509253110521,7.948079
00001.png,HAAM-GAN,28.605801177145665,0.9643432299833763,25.919157501299235,381.59687039151584,7.8771486
00001.png,UWnet,18.8038519132331,0.8826836177323155,18.692168602958752,237.90882801523043,7.4567537
00001.png,U-Transformer,29.785008368906333,0.953295219401919,23.361429261099637,330.7828122484069,7.863141
00001.png,SS-UIE,34.710172830081625,0.9719177781586188,24.742405727120815,348.13593698497266,7.8884964
00002.png,DM,37.3729571619299,0.9919152553157429,14.368966820049703,144.7510911120647,6.96295
00002.png,HAAM-GAN,19.59273392723461,0.9589753495478456,14.201086275726649,138.5604073983225,6.9394803
00002.png,UWnet,16.986004497675477,0.8772661791851826,7.088483571393233,66.33321643388935,5.970062
00002.png,U-Transformer,32.052626782012624,0.9631089425064188,13.793234855170361,133.79582809545917,6.891739
00002.png,SS-UIE,36.75642176387734,0.9873422485328207,14.028657929742545,138.38306435762405,6.939535
00003.png,DM,30.709970299659286,0.990256480499632,2630471.3908994365,390.7465401703354,7.587454
00003.png,HAAM-GAN,28.20970461178355,0.9633756893388644,25.28926750161814,427.6432721560176,7.6069756
00003.png,UWnet,18.841693247102874,0.8849796498208774,20.22488688717092,247.01209807218177,7.184192
00003.png,U-Transformer,22.495835355811536,0.927774769330118,21.96594523100751,312.9107425931146,7.4628153
00003.png,SS-UIE,28.42559505475325,0.9779626932804649,23.96718067017584,381.6921920495623,7.527833
00004.png,DM,22.82365237480665,0.8672326731163269,284129.78687311354,508.233371578969,7.9020524
00004.png,HAAM-GAN,20.1691243967022,0.8588270081801739,28.530499473202262,552.7889947641002,7.851096
00004.png,UWnet,19.486781197550098,0.8221037502859054,2635251.588533532,435.46416672181016,7.851488
00004.png,U-Transformer,21.905960619650017,0.8010371541604248,25.754741139546898,473.4691579133782,7.750675
00004.png,SS-UIE,23.275760346458835,0.8579785417570801,26.100537074605235,513.3710434797188,7.7371063
00005.png,DM,29.352075538950807,0.9009569501529311,17.1015396207616,194.20588318017676,7.248981
00005.png,HAAM-GAN,18.457395670325273,0.875127969451167,20.310886359998456,246.76242245931414,7.608074
00005.png,UWnet,23.87067239534845,0.8984785976346297,16.304543153906053,197.57936827097674,7.3048997
00005.png,U-Transformer,28.95161669732442,0.9028125129085348,17.564742495305463,215.5696674706148,7.321707
00005.png,SS-UIE,31.335214451334732,0.9013413431276428,16.78746088154776,204.77072684581975,7.255742
00006.png,DM,23.333898791437278,0.7930205417820134,142889.37052980583,317.2776534756054,7.5915585
00006.png,HAAM-GAN,16.65968886767176,0.7567125054776049,71456.08309697169,369.9928525543242,7.837638
00006.png,UWnet,23.263338705299912,0.737733930542104,3064962.6677896157,259.5267372285268,7.54098
00006.png,U-Transformer,19.844686014846644,0.7711235763776244,18.897117049345034,370.47937513712424,7.6079764
00006.png,SS-UIE,25.303784432514014,0.8030419102134158,16.620533103397385,333.1349123044237,7.494539
00007.png,DM,24.21096772983447,0.8100476295857442,22.847764085308125,263.1709840875146,7.0985336
00007.png,HAAM-GAN,18.96434178372749,0.7987463118353412,26.137336526575737,352.73097984372265,7.4223404
00007.png,UWnet,20.16625234813332,0.7642149384461264,22.957780713125867,222.97392077158256,7.12336
00007.png,U-Transformer,22.342786933583877,0.7831399450918195,21.143456838159373,269.54214448579074,6.9721246
00007.png,SS-UIE,22.708004658430685,0.8145653023751919,21.292961841772513,293.5377251676266,6.991971
00008.png,DM,33.9187156139954,0.9878485657369892,21.55810212546645,259.83679104067096,7.3307014
00008.png,HAAM-GAN,15.829640519689402,0.9220340746010174,26.66040932212128,296.72040667012965,7.349684
00008.png,UWnet,11.422440798393724,0.7986247985051853,19.974523030260944,168.98493506058233,6.8830686
00008.png,U-Transformer,25.207861419611902,0.9434209680481256,20.87444928719473,247.3771989112256,7.212761
00008.png,SS-UIE,22.52600782480098,0.9580022787981505,18.41495880286374,214.54984937971372,7.07953
00009.png,DM,30.774857734889217,0.9871631236331434,52219604.576219976,976.2138138476299,7.8018007
00009.png,HAAM-GAN,27.321042762838083,0.9584648292541171,71183.25366481664,1283.0864788228257,7.807946
00009.png,UWnet,21.298074558025796,0.8927901869430847,18.71730590065301,495.57849623591085,7.592539
00009.png,U-Transformer,26.837786708882444,0.944323148685014,18.212084368660744,814.4211574969081,7.664463
00009.png,SS-UIE,27.502740602363623,0.9761177095087594,18.51018538585794,776.3293744486573,7.6245213
00010.png,DM,21.41130526864947,0.8241997590703896,16.126145088370997,269.1462287259627,7.3866806
00010.png,HAAM-GAN,16.663068569903672,0.7305994804612078,22.605322381434718,378.88223871195737,7.8071423
00010.png,UWnet,21.25907556277938,0.7774118671109799,15.737371750198657,220.06401967614894,7.3413334
00010.png,U-Transformer,18.356515788394706,0.7816847931921629,18.156629417575946,314.7678692739168,7.5895367
00010.png,SS-UIE,22.50637145341782,0.8397316587780355,15.298689612127573,317.1849796518012,7.3772807
00011.png,DM,25.62088397567454,0.8537439213059285,27.03149243686243,264.497763228537,7.4566965
00011.png,HAAM-GAN,19.308574227641497,0.837160194188376,142351.79740243,317.097870237934,7.4918437
