image,algorithm,psnr,ssim,uciqe,uiqm,entropy
00015.png,U-Transformer,33.12949117866498,0.9409000832726694,15.626963889037242,197.45554551299136,7.381611
00015.png,SS-UIE,27.789504838520095,0.9708835941336112,14.216378652681446,171.40654400311274,7.2400637
00016.png,DM,28.088362192282034,0.9330682273448189,19.64013057378811,330.92272690447567,7.4571953
00016.png,HAAM-GAN,22.39097521607051,0.9150258538804807,22.372419875618856,405.1311975204016,7.5921507
00016.png,UWnet,25.817308681188752,0.9076094267414373,19.505159903528693,285.25504570607444,7.3594155
00016.png,U-Transformer,25.83639050670728,0.9062692574136767,18.112203002894688,340.36339059502075,7.3384824
00016.png,SS-UIE,27.229741930083616,0.9248745897153152,17.41254052855371,334.0987805725019,7.2842784
00017.png,DM,30.206321690382673,0.9376964162180547,25.135512562260104,256.3416102656668,7.5705247
00017.png,HAAM-GAN,21.952696272818525,0.9091135643312768,29.94283003816445,321.93849927187006,7.8171
00017.png,UWnet,21.00401310494081,0.9188829357755475,23.025312689277126,233.94558449442533,7.576749
00017.png,U-Transformer,26.489813042702487,0.9175197842170211,24.06700954991003,251.2780388277812,7.592351
00017.png,SS-UIE,30.16316326435416,0.9362164476946654,23.844236674950793,257.4241944613196,7.4943333
00018.png,DM,33.73422232000617,0.9842589394511364,786610.0134483367,235.47866027740298,7.5449305
00018.png,HAAM-GAN,25.613236412951075,0.9342869109705242,17.728663780146622,219.94007233751677,7.5100374
00018.png,UWnet,15.271376571445817,0.6236193178439244,7.071846512319357,74.23207295431905,6.1005483
00018.png,U-Transformer,23.209295543831672,0.9153034585654749,213776.6657349407,215.35876173421602,7.465764
00018.png,SS-UIE,30.497269062474658,0.9457190465295071,17.61803423682251,206.3091288059568,7.4487333
00019.png,DM,33.55387272987012,0.9770118049787092,6136540.767488076,445.4356325242435,7.0923204
00019.png,HAAM-GAN,27.42762078141283,0.9355652018177925,25.788347707200888,507.33769464164914,7.1755185
00019.png,UWnet,22.687175867093828,0.8764337790256461,22.801841468035512,327.9159898939249,6.906564
00019.png,U-Transformer,22.810109550666287,0.8300439192950608,22.266101279176116,351.69011305723,6.8334255
00019.png,SS-UIE,27.930065331359003,0.9616836062829891,23.28093613872071,393.10231695899927,6.9661555
00020.png,DM,24.569860807051903,0.9383791170485497,39746932.58626753,351.97446081143715,7.7854877
00020.png,HAAM-GAN,24.984429159739374,0.9251954846036347,142352.7026973008,379.3302199614991,7.8061376
00020.png,UWnet,19.010959042866713,0.8663200117725678,11542936.594695155,268.865846808126,7.6924515
00020.png,U-Transformer,23.66273502948841,0.876766773485349,26.6213550363339,322.25908774845396,7.656909
00020.png,SS-UIE,26.30108659278166,0.9527356229206373,25.95328985437111,276.08767093459807,7.552249
